q1,q2,q3,q4,q5,q6,x,y,z
0.53124,-0.30922,0.46022,-0.00080491,0.13002,0,0.2553,0.15,0.551
-0.20053,0.48051,-0.14141,-0.0010425,-0.057845,0,0.492,-0.1,0.475
0.69637,-0.060094,0.49841,0.00096908,0.12949,0,0.2667,0.223,0.456
-0.064687,0.43557,-0.45136,-0.0018304,-0.12987,0,0.485,-0.0314,0.62
-0.66174,-0.012239,0.31486,-0.00073622,0.078707,0,0.294,-0.229,0.51
-0.37452,-0.72728,0.85501,0.016622,0.26638,0,0.182,-0.0712,0.495
-0.17218,0.11679,0.56426,-0.00017314,0.1341,0,0.35422,-0.0616,0.37
0.74538,-0.11307,0.16625,0.00021265,0.045921,0,0.2546,0.235,0.605
-0.40739,0.048849,0.38769,-0.0011128,0.093877,0,0.34758,-0.15,0.459
-0.40444,0.48916,0.33415,-0.0026463,0.055429,0,0.3948,-0.169,0.299
0.51875,0.054469,0.30684,0.0010427,0.073399,0,0.3363,0.192,0.488
0.37548,-0.32147,0.82329,-0.0031864,0.23296,0,0.248,0.0977,0.414
-0.38231,0.025612,-0.029568,1.3751e-05,-0.0084659,0,0.35315,-0.142,0.632
0.53191,-0.28437,0.11805,-0.00076225,0.043627,0,0.243,0.143,0.677
0.60143,-0.40796,0.56782,-0.0022631,0.1635,0,0.223,0.153,0.536
-0.29687,-0.14865,0.23465,0.00015586,0.064928,0,0.3233,-0.0989,0.59
-0.43601,-0.253,0.46548,0.0013625,0.12948,0,0.2812,-0.131,0.532
-0.45994,-0.16809,0.53752,0.00033862,0.14499,0,0.2907,-0.144,0.477
0.3014,0.012389,0.044166,7.7512e-05,0.010115,0,0.3635,0.113,0.608
-0.51613,0.033934,0.33467,-0.0010276,0.081541,0,0.3313,-0.188,0.485
0.37368,0.085332,0.03578,0.00021927,0.0044716,0,0.3749,0.147,0.583
-0.10451,-0.075269,0.54691,0.0011923,0.14063,0,0.3376,-0.0354,0.443
-0.46215,0.13201,-0.23965,0.00028767,-0.064141,0,0.35733,-0.178,0.672
-0.14623,-0.33076,0.10312,0.00096206,0.042027,0,0.2587,-0.0381,0.695
-0.34943,-0.42958,0.82496,0.0051492,0.24028,0,0.236,-0.0859,0.441
0.136,0.40623,0.15294,0.00062572,0.015833,0,0.456,0.0624,0.398
-0.059451,0.25577,0.65733,3.9011e-05,0.1496,0,0.34274,-0.0204,0.2921
-0.23606,-0.45947,0.48794,0.0050895,0.14422,0,0.248,-0.0596,0.581
0.027901,-0.44615,1.0569,-0.00055152,0.31929,0,0.214,0.00596,0.36
0.56874,-0.21187,0.47859,-0.00070276,0.13104,0,0.2691,0.172,0.514
-0.27646,-0.082871,-0.009147,0.00016552,0.0019983,0,0.3306,-0.0938,0.663
-0.58247,-0.58307,0.74725,0.0080688,0.22156,0,0.19,-0.125,0.508
-0.1064,0.21155,0.5029,-0.00024682,0.11272,0,0.3773,-0.0403,0.356
0.36133,0.29455,0.44998,0.0022049,0.095333,0,0.3704,0.14,0.3416
-0.2062,0.24426,-0.0042566,-0.000371,-0.013193,0,0.436,-0.0912,0.532
0.23389,0.33818,0.058429,0.00068771,-0.0030103,0,0.4491,0.107,0.465
-0.38063,-0.18479,0.077537,0.00026999,0.028396,0,0.2924,-0.117,0.663
-0.58502,0.19433,0.68454,-0.0048243,0.16502,0,0.2792,-0.185,0.3048
-0.52573,-0.989,1.0725,0.040563,0.055222,0,0.132,-0.0764,0.473
-0.24523,-0.23543,0.030041,0.00056406,0.019222,0,0.2805,-0.0702,0.696
-0.035707,-0.097183,0.29106,0.00046303,0.07648,0,0.35279,-0.0126,0.55
0.50493,0.052154,0.48855,0.0017604,0.12021,0,0.3202,0.177,0.42
-0.14834,-0.18596,-0.011779,0.00032904,0.0064379,0,0.2998,-0.0448,0.697
0.11608,0.55709,0.045383,0.0010644,-0.018189,0,0.488,0.0569,0.366
-0.04647,-0.55212,0.94395,0.0015088,0.28773,0,0.22,-0.0102,0.424
0.23435,-0.42178,0.27469,-0.002027,0.089324,0,0.243,0.058,0.654
