x,y,z
0.25529999999999997,0.15,0.5509999999999999
0.492,-0.1,0.475
0.2667,0.223,0.45599999999999996
0.485,-0.0314,0.62
0.294,-0.229,0.51
0.18199999999999997,-0.0712,0.495
0.35422,-0.0616,0.37
0.2546,0.235,0.605
0.34758,-0.15,0.45899999999999996
0.3948,-0.169,0.299
0.3363,0.192,0.488
0.248,0.0977,0.41400000000000003
0.35314999999999996,-0.142,0.632
0.243,0.143,0.677
0.22299999999999998,0.153,0.536
0.3233,-0.0989,0.5900000000000001
0.2812,-0.131,0.532
0.29069999999999996,-0.144,0.477
0.3635,0.113,0.608
0.3313,-0.188,0.485
0.37489999999999996,0.147,0.583
0.33759999999999996,-0.0354,0.443
0.35733,-0.178,0.6719999999999999
0.2587,-0.0381,0.6950000000000001
0.236,-0.0859,0.441
0.45599999999999996,0.0624,0.398
0.34274,-0.0204,0.2921
0.248,-0.0596,0.581
0.21399999999999997,0.00596,0.36
0.2691,0.172,0.514
0.3306,-0.0938,0.663
0.18999999999999997,-0.125,0.508
0.37729999999999997,-0.0403,0.356
0.37039999999999995,0.14,0.3416
0.43599999999999994,-0.0912,0.532
0.44909999999999994,0.107,0.46499999999999997
0.2924,-0.117,0.663
0.2792,-0.185,0.3048
0.13199999999999998,-0.0764,0.473
0.28049999999999997,-0.0702,0.696
0.35279,-0.0126,0.55
0.3202,0.177,0.42000000000000004
0.29979999999999996,-0.0448,0.6970000000000001
0.488,0.0569,0.366
0.21999999999999997,-0.0102,0.424
0.243,0.058,0.654
0.29829999999999995,0.0722,0.359
0.45199999999999996,0.114,0.656
0.44399999999999995,0.0699,0.424
0.25529999999999997,0.0765,0.487
0.37639999999999996,0.0375,0.567
0.377,-0.194,0.404
0.534,0.0515,0.41500000000000004
0.2631,0.143,0.41100000000000003
0.2783,0.0725,0.2803
0.3917,-0.216,0.5700000000000001
0.3872,-0.03,0.634
0.243,0.0259,0.653
0.507,-0.0185,0.503
0.2985,-0.194,0.5
0.4139,0.119,0.5800000000000001
0.3974,-0.171,0.536
0.508,-0.154,0.442
0.27399999999999997,0.145,0.489
0.25239999999999996,0.0165,0.603
0.204,-0.0219,0.45399999999999996
0.23199999999999998,-0.124,0.422
0.2984,-0.0844,0.424
0.3992,-0.0245,0.5680000000000001
0.483,0.0781,0.441
0.4085,0.018,0.5549999999999999
0.3661,0.136,0.663
0.34285,-0.199,0.49
0.243,-0.00846,0.488
0.174,0.0397,0.585
0.519,0.0932,0.526
0.34829,-0.0762,0.32430000000000003
0.25949999999999995,-0.098,0.401
0.24999999999999997,-0.0808,0.642
0.2969,-0.134,0.518
0.31679999999999997,-0.179,0.5489999999999999
0.21999999999999997,-0.067,0.562
0.350904,0.117,0.472
0.485,-0.0618,0.497
0.46699999999999997,0.0875,0.495
0.2603,0.0545,0.612
0.45099999999999996,-0.101,0.5569999999999999
0.246,0.0703,0.504
0.2612,0.00897,0.6910000000000001
0.16299999999999998,-0.0145,0.34650000000000003
0.4375,-0.0994,0.41600000000000004
0.2591,-0.0379,0.538
0.52,0.00393,0.619
0.41459999999999997,-0.119,0.527
0.46699999999999997,0.143,0.496
0.514,-0.0277,0.379
0.494,-0.0153,0.509
0.471,-0.0569,0.6759999999999999
